Polarity,Text
negative,لاحظت فيها مشكلة من أول ما طلعتها من الوكالة لما امر على مطبات خفيفة وانا لاف الدركسون أسمع صوت طرطقة حديد كأنه في شي فالت.
negative,الفورد أفشل مكيف امريكي من تجربة.
negative,القطع مو متوفرة و صعب تلقاها.
negative,انا ما انصحك بهذي السيارات لان قطعها اكيد غالية وصيانتها مكلفة .
neutral,الطاره تصميمها سيء اما باقي الداخلية جميلة.
negative,عندي مشكلة في امبير البانزين حق الاسكاليد انه خربان ما يعطيني القراءة صح.
negative,الاكورد بالنسبه لي احذفها بسبب سعرها الشاطح.
positive,قطعه رخيصة وسيارة مكده عن تجربة و لازالت سيارتي شبح 500 موديل 1998 ما شاءالله تبارك الله قليلة أعطال وقطعها رخيصة تعتبر أرخص قطع غيار من أي سيارة أخرى وعن تجربة.
negative,عندي تفتفة بسيطة ونفضة و الموتر واقف.
negative,فيه صوت يطلع من الديكور اذا شغلت المكيف.
positive,سيارة ممتازة وعملية وقطعها رخيصة.
negative,للأسف ما فيها حساسات و لا كاميرا و لا تكييف خلفي.
neutral,أشوف أكبر عيب فيها ما فيها مكيف خلفي اما كمواصفات وسعر ممتازة.
negative,أشوف سعره مبالغ فيه بالنسبة لي.
negative,عندي مشكلة في ضعف عزم كامري 2000 4 سلندر ووديتها الورشة وكشفت كمبيوتر وطلع لي حساس الحرارة اللي في الكوع.
negative,عداد السيارة فيه مشكلة.
negative,فيه صوت يشبه صوت الرن عند بدايه التشغيل.
negative,نصيحة ابعد عنها عده أسباب موديلها قديم وقطع غير متوفرة لا في الوكالة وغالي غير منتشرة شف لك غيرها.
negative,المشكلة فى دبة التلوث وده عيب مصنعى فى الالنترا.
positive,سواقته حلوة ومريح وصيانة يتحمل صرف بنزين اقتصادي كثير و عزمه قوي.
negative,ابعد عنها نصيحة موديلها قديم وقليلة الانتشار وقطعها غالية ونادرة.
positive,اكسنت افضل لك بتحصل 2008 قطع متوفرة رخيصة عملية ممتازة.
negative,كان معي لانسر 2002 و أتعبتني بالقطع. ميزة المستوبيشي صبور ويتحمل لكن في الصيانة مو كل احد يعرف له وسعر قطعة غالية ونادرة.
positive,السبب الي خلاني اشتريه يقولوا انها قوية وتتحمل فيها انطلاقه بالخط.
negative,غالبية ملاك الماغنا يشتكون بعدم توفر قطع غيار لها.
negative,كفراتها نكسن كانت مزعجة جدا تسمع صوت الازفلت بوضوح.
negative,اذا شغلت السيارة أسمع صوت طقة في الطبلون او تحت الدركسون.
negative,انا من رأيي لك سيارة ما تصلح للاستخدام الشخصي و العائلي وصوتها كله ازعاج.
negative,عندي تهريب بصوفة العكس.
negative,سعره مبالغ فيه جدا.
positive,الموستنج من افضل السيارات الرياضية كسعر وجوده وصيانة وغير معقدة اطلاقا.
neutral,انا مستخدم للموستنغ من 3 سنين تقريبا و الحمد لله عملية جداً بس عيبها تصرف بنزين في مشاوير البلد لكن في الخطوط ما تصرف و اقتصادية في الخط.
negative,عندي كيا اوبتما 2015 مكيفها ما يبرد ودفع الهواء مره ضعيف مدري وش المشكلة.
positive,"سيارة عملية وسبور وقطع غيار رخيصة, توكل على الله."
positive,هي ملكة ذي الفئة وافضل من الكمارو و التشالنجر عملية أكثر ووكيلها افضل وقطعها متوفرة.
negative,المكينة ضعيفة التريلات بتسبقه.
negative,العيب في الوكيل عندنا ما يرسل تقارير عن عيوب او أعطال السيارات عشان الشركة تتلافى هذة العيوب.
positive,لايخفى عليكم السمعة الطيبة لسيارات تويوتا وماسكة سعرها بالسوق بحجة انها عملية وحقت كرف وقطعها متوفرة ورخيصة.
positive,الكابريس صرفيته بالخطوط جدا ممتاز.
negative,الجيوب تحرق البنزين حرق.
negative,إنفقع الرديتر وارتفعت الحرارة.
neutral,صح لا راحه و لا رحابة لكن تخدم.
positive,رجعت للياباني رخيص وكويس.
neutral,TOYOTA ما لها مثيل تكد وتصبر صح انها قاسية وغير مريحة بالشكل المطلوب لكن ما يهم المهم ان السيارة تصبر وتكد.
neutral,"مميزاته عزم وراحه, عيوبه يفرش في الارض اذا معاك عائلة ما شاء الله يحك في المطبات."
neutral,رغم كرهي لتويوتا بسبب الوكيل إلا أن كلمة الحق أن سياراته أكثر سيارات اعتمادية وقلة أعطال.
neutral,الموتر ممتاز عزم وقوة لكن نازل شوي ويحك في المطبات.
neutral,تويوتا صحيح أسعار عالية ومواصفات قليلة لكن سيارات تتحمل الكرف وتتحمل تضاريسنا وسواقتنا بخصوص قطع الغيار تعتبر متوسطة الى غالية.
negative,عيوب تويوتا ارتفاع سعرها وقلة المواصفات.
negative,واحد من الشباب يسب الاكورد يقول فحماتها غالية.
negative,ريحة حريق قوية في السيارة.
neutral,التويوتا في القطع الأسعار ممكن تكون غالية لكن ركب و انسى وموتر كد ويستاهل سعره.
negative,عندي مشكلة الي هي السيارة فيها نفضة خفيفة من سرعة 20 الى 60  تحس السيارة تثقل.
positive,بالنسبة للميزات في الصني مكيف ممتاز وواسعة داخليتها بالمقارنة مع المنافسين وأقل سعر في فئتها.
negative,هذا هو الــ CVT الخايس مهما طبلت له الناس فيه ناس عندهم مواضيع لــ 2015 يا دوبهم استخدموه كم شهر الا وفيه رجة ولما يراجعون الوكالة ما يعرفون يصلحونه ويقولون لهم نبدل لكم الجير !! اذا الوكالة مو قادرة تتعامل معه كيف بسباكين الورش !؟.
negative,انحاش يا اخوك اعرف واحد كان شغال بشركة الحاج حسين الي هي وكيل جيلي يقول أسوأ سيارات سيارات جلي حتى القطع بالوكالة مو متوفرة واذا توفرت تكون غالية.
negative,عزمها ضعيف و السرعة كحد أقصى لا تتجاوز 80 كلم/س.
negative,الديزل غثيث جدا تلقى الطرمبة فيها مشكلة اكيد او مقفلة الفلتر من الاوساخ و لا تتوقع الكثير منها ممكن بأحسن حالاتها تجيب 110 او 120.
positive,انا كانت معاي التيما 2014 ماخذها وكالة ما كملت سنتين الا و القير خبط و بعتها و الله يعوض على خير منها.
